,Time Range,KS Value,Variance,IQR
0,Jun 2007 - Aug 2007,0.31148687660626373,0.0064896078393666045,
1,Aug 2007 - Oct 2007,0.16778710719049456,0.0021520311371703155,0.0678791726190476
2,Oct 2007 - Dec 2007,0.11863495057880313,0.003038034819351111,0.06985114422391947
3,Dec 2007 - Feb 2008,0.09994349036375796,0.0023217500539414373,0.06058944517076506
4,Feb 2008 - Apr 2008,0.16564914292335686,0.0017659896602840836,0.054401371428571425
5,Apr 2008 - Jun 2008,0.42868694267839935,0.0005589995232444223,0.029971385805190088
6,Jun 2008 - Aug 2008,0.3513146303290816,0.0007564055459600404,0.038497515262196705
7,Aug 2008 - Oct 2008,0.3967032483143936,0.0007964310287190033,0.0347040619996007
8,Oct 2008 - Dec 2008,0.14063952247152944,0.0014712697149050992,0.052672856620923386
9,Dec 2008 - Feb 2009,0.15171312449509877,0.0013439341630278427,0.044507206950883976
10,Feb 2009 - Apr 2009,0.08964456672679644,0.001900833662197618,0.052766490569022106
11,Apr 2009 - Jun 2009,0.14805741800493583,0.0017792945031239443,0.054008870087095893
12,Jun 2009 - Aug 2009,0.14437515392016625,0.0015152496509769809,0.054096974769729175
13,Aug 2009 - Oct 2009,0.10696845096649527,0.0018427521232244044,0.060093192174913684
14,Oct 2009 - Dec 2009,0.08600100648588041,0.0021134988326424833,0.060562269641608796
15,Dec 2009 - Feb 2010,0.06665656174946238,0.0019397469165113516,0.058906622510974005
16,Feb 2010 - Apr 2010,0.09385770928635823,0.0019154550679083475,0.06126369999999999
17,Apr 2010 - Jun 2010,0.20157663612540072,0.0014639888645831126,0.04596783543206161
18,Jun 2010 - Aug 2010,0.17749587445784465,0.0013370656537890118,0.04893062162162162
19,Aug 2010 - Oct 2010,0.19760221460669442,0.0013853142321233133,0.04784830917874396
20,Oct 2010 - Dec 2010,0.24350225912378493,0.0012602880451686293,0.04307585180615886
21,Dec 2010 - Feb 2011,0.155918984369669,0.0014587203846157157,0.04961038099389894
22,Feb 2011 - Apr 2011,0.1620677436171798,0.0014315176483425621,0.051299992851547196
23,Apr 2011 - Jun 2011,0.17024657641071844,0.001389671474134464,0.048985414311989946
24,Jun 2011 - Aug 2011,0.15011943821189166,0.0015018156442573097,0.05261416666666666
25,Aug 2011 - Oct 2011,0.11888105617710842,0.0015760007937739302,0.05360268131868131
26,Oct 2011 - Dec 2011,0.027600196555744305,0.0016510038621369212,0.057033031774735204
27,Dec 2011 - Feb 2012,0.06670657469010055,0.0018499772734352213,0.06166980484550628
28,Feb 2012 - Apr 2012,0.0330995930921979,0.0021526067918483435,0.06477588235294118
29,Apr 2012 - Jun 2012,0.02899900080206752,0.0021589748188203983,0.06444992307692307
30,Jun 2012 - Aug 2012,0.049812447982089836,0.0017142677944667882,0.06290767661439345
31,Aug 2012 - Oct 2012,0.0788237866393443,0.0016546977180714893,0.06386774731182797
32,Oct 2012 - Dec 2012,0.0606565128050478,0.0016962870548698139,0.06063181949746533
33,Dec 2012 - Feb 2013,0.11748291724249993,0.001644582164263065,0.059119757575757576
34,Feb 2013 - Apr 2013,0.08681122529249985,0.0015848719646877518,0.05836408173076925
35,Apr 2013 - Jun 2013,0.09196811838279512,0.0015413482969961285,0.0579167323943662
36,Jun 2013 - Aug 2013,0.06403344453586385,0.0015457049991405658,0.05803208492663406
37,Aug 2013 - Oct 2013,0.07457643585900103,0.001487198501496772,0.05630962669531105
38,Oct 2013 - Dec 2013,0.058423357297717804,0.0015480041067016338,0.056177290642715746
39,Dec 2013 - Feb 2014,0.06073068030667075,0.0015509810009603268,0.05591494736842107
40,Feb 2014 - Apr 2014,0.04738133832027647,0.0015227150120682062,0.05642522469982847
41,Apr 2014 - Jun 2014,0.04036420900310722,0.0014815081711284724,0.056232784415584415
42,Jun 2014 - Aug 2014,0.04131706073081842,0.0015648681099477543,0.05756499935064935
43,Aug 2014 - Oct 2014,0.039395493133961734,0.0016421604345933341,0.057450508474576285
44,Oct 2014 - Dec 2014,0.0390103356257554,0.0016476775803118899,0.05767406896551724
45,Dec 2014 - Feb 2015,0.04980213261970823,0.0016206747423538135,0.056613310982373974
46,Feb 2015 - Apr 2015,0.03797089978672391,0.0016232689219047066,0.05650692162162162
47,Apr 2015 - Jun 2015,0.03485963973476669,0.0016772371725884616,0.05725274130793967
48,Jun 2015 - Aug 2015,0.03392525603923391,0.0016376850160350126,0.05637493774954627
49,Aug 2015 - Oct 2015,0.023696031626077474,0.0016056997328945009,0.05519028075884973
50,Oct 2015 - Dec 2015,0.026125231330672016,,0.05564747760112389
51,Dec 2015 - Feb 2016,0.01606950292458309,,0.05681438961038962
52,Feb 2016 - Apr 2016,0.01766101890594224,,0.05851738141820958
53,Apr 2016 - Jun 2016,0.012053163751204354,,0.0578056767190183
54,Jun 2016 - Aug 2016,0.02571858224500484,0.001831643365153392,0.0584311875658588
55,Aug 2016 - Oct 2016,0.05916463676527833,,0.05715634285714284
56,Oct 2016 - Dec 2016,0.052709993467605964,,0.05862402702702703
57,Dec 2016 - Feb 2017,0.04186302289009536,,0.05695091013932956
58,Feb 2017 - Apr 2017,0.05155644485226285,,0.056855516966956336
59,Apr 2017 - Jun 2017,0.05920040763095491,,0.056792666666666665
60,Jun 2017 - Aug 2017,0.055544597459272205,,0.05825587888788579
61,Aug 2017 - Oct 2017,0.024076665449012713,,0.06271658297322538
62,Oct 2017 - Dec 2017,0.0326573135861602,,0.0640774857142857
63,Dec 2017 - Feb 2018,0.04717519922356794,,0.06614896969696969
64,Feb 2018 - Apr 2018,0.04656641362781211,,0.06652559378631083
65,Apr 2018 - Jun 2018,0.042922777126365164,,0.06548186019838809
66,Jun 2018 - Aug 2018,0.037435399496310695,,0.06386611659333752
67,Aug 2018 - Oct 2018,0.03330381291256235,,0.0626975450842716
